business_name,average_inspection_score,business_postal_code,business_latitude,business_longitude,business_location
BAYVIEW HP MULTI-SERVICE DROP-IN CT,94.0,94124,37.726932,-122.388696,POINT (-122.388696 37.726932)
BBC cafe,90.5,94124,37.726,-122.401598,POINT (-122.401598 37.726)
BEAN BAG COFFEE HOUSE,80.0,94117,37.775184,-122.437864,POINT (-122.437864 37.775184)
BELLA TRATTORIA,81.5,94118,37.781268,-122.460842,POINT (-122.460842 37.781268)
BEN WAH RESTAURANT,76.75,94115,37.788138,-122.440174,POINT (-122.440174 37.788138)
BENDERS BAR & GRILL,92.0,94110,37.76031,-122.417123,POINT (-122.417123 37.76031)
BENIHANA OF TOKYO,93.0,94115,37.785457,-122.430317,POINT (-122.430317 37.785457)
BERNAL STAR,84.0,94110,37.739098,-122.417463,POINT (-122.417463 37.739098)
BETTY ZLATCHIN CATERING,96.0,94107,37.755483,-122.390879,POINT (-122.390879 37.755483)
BEVERAGES & MORE,94.0,94124,37.744984,-122.404059,POINT (-122.404059 37.744984)
BIG MOUTH BURGERS,89.0,94110,37.752158,-122.420362,POINT (-122.420362 37.752158)
BIG SAVE MARKET,92.0,94124,37.733019,-122.391239,POINT (-122.391239 37.733019)
BILLIARD PALACADE,97.33333333333333,94112,37.715769,-122.441505,POINT (-122.441505 37.715769)
BIN 55,96.0,94103,37.784964,-122.404752,POINT (-122.404752 37.784964)
BISTRO AIX,98.0,94123,37.800187,-122.437756,POINT (-122.437756 37.800187)
BLUE BOTTLE COFFEE LLC,96.0,94102,37.77634,-122.423099,POINT (-122.423099 37.77634)
BLUE DANUBE COFFEE HOUSE,91.33333333333333,94118,37.783058,-122.462502,POINT (-122.462502 37.783058)
BLUE FRONT DELI,90.66666666666667,94117,37.770147,-122.446044,POINT (-122.446044 37.770147)
BLUSH,96.0,94114,37.761209,-122.4351,POINT (-122.4351 37.761209)
BOBOQUIVARI'S,94.66666666666667,94123,37.801218,-122.425535,POINT (-122.425535 37.801218)
BOOGALOOS,86.0,94110,37.755357,-122.420652,POINT (-122.420652 37.755357)
BOSTON MARKET,93.0,94103,37.765708,-122.409002,POINT (-122.409002 37.765708)
BOTTOM OF THE HILL,94.0,94107,37.765117,-122.396135,POINT (-122.396135 37.765117)
BOUDIN BAKERY,86.5,94118,37.781139,-122.468635,POINT (-122.468635 37.781139)
BOULEVARD,89.66666666666667,94105,37.793497,-122.392841,POINT (-122.392841 37.793497)
BRAVO PIZZA,85.0,94112,37.716583,-122.440834,POINT (-122.440834 37.716583)
BRAZEN HEAD RESTAURANT,84.75,94123,37.799218,-122.432517,POINT (-122.432517 37.799218)
BREAD & BUTTER MARKET,90.83333333333333,94109,37.785068,-122.418983,POINT (-122.418983 37.785068)
BRET HARTE CHILDREN'S CENTER,96.75,94124,37.718375,-122.390006,POINT (-122.390006 37.718375)
BRYAN'S,88.5,94118,37.786703,-122.450877,POINT (-122.450877 37.786703)
BUCHANAN FOOD MART,97.33333333333333,94115,37.789844,-122.430684,POINT (-122.430684 37.789844)
BUFFALO BURGERS RESTAURANT,91.0,94121,37.780372,-122.476354,POINT (-122.476354 37.780372)
BULLSHEAD RESTAURANT,91.0,94127,37.740785,-122.465507,POINT (-122.465507 37.740785)
BURGER JOINT,91.33333333333333,94110,37.759933,-122.421356,POINT (-122.421356 37.759933)
BURGER KING,98.0,94102,37.785094,-122.407785,POINT (-122.407785 37.785094)
BURGERMEISTER,93.0,94117,37.765848,-122.449664,POINT (-122.449664 37.765848)
BURMA SUPERSTAR RESTAURANT,92.5,94118,37.783004,-122.462539,POINT (-122.462539 37.783004)
BURRITO EXPRESS,87.66666666666667,94116,37.742673,-122.48334,POINT (-122.48334 37.742673)
BURTON HIGH SCHOOL,95.16666666666667,94134,37.720656,-122.405108,POINT (-122.405108 37.720656)
BUS STOP PIZZA #1,81.0,94117,37.771487,-122.437047,POINT (-122.437047 37.771487)
BUTTER,90.0,94103,37.771168,-122.413179,POINT (-122.413179 37.771168)
Baby Blues BBQ San Francisco Inc,88.5,94110,37.746953,-122.418954,POINT (-122.418954 37.746953)
Bacco,81.0,94114,37.751403,-122.436286,POINT (-122.436286 37.751403)
Bai Som Thai Kitchen,87.25,94121,37.782103,-122.482089,POINT (-122.482089 37.782103)
Baker Street Bistro,92.0,94123,37.798172,-122.445962,POINT (-122.445962 37.798172)
Balboa Teriyaki,81.5,94121,37.775804,-122.49665,POINT (-122.49665 37.775804)
Balboa Theater,95.33333333333333,94121,37.775752,-122.497655,POINT (-122.497655 37.775752)
Ballroom Bakery,95.0,94103,37.784964,-122.404752,POINT (-122.404752 37.784964)
Balompie Cafe No. 3 Inc.,77.33333333333333,94110,37.73598,-122.424438,POINT (-122.424438 37.73598)
Bambino's Ristorante,96.0,94117,37.765174,-122.449884,POINT (-122.449884 37.765174)
Bamboo Asia,81.0,94101,37.774998,-122.418299,POINT (-122.418299 37.774998)
Bamboo Restaurant,89.0,94109,37.790134,-122.420634,POINT (-122.420634 37.790134)
Banquet Kitchen,100.0,94103,37.784964,-122.404752,POINT (-122.404752 37.784964)
Banwich,90.33333333333333,94116,37.742895,-122.477898,POINT (-122.477898 37.742895)
Bar Crudo,88.0,94117,37.775684,-122.437965,POINT (-122.437965 37.775684)
Barbacco Eno-Trattoria,92.5,94111,37.793419,-122.399088,POINT (-122.399088 37.793419)
Barbarossa,90.5,94111,37.795918,-122.403283,POINT (-122.403283 37.795918)
Barcino,90.0,94102,37.777833,-122.422797,POINT (-122.422797 37.777833)
Basa Seafood Express,88.4,94110,37.752578,-122.413372,POINT (-122.413372 37.752578)
Basil Canteen,82.0,94103,37.772008,-122.413803,POINT (-122.413803 37.772008)
